"year","month","temp"
1780,"Diciembre",7.3
1781,"Diciembre",10.3
1782,"Diciembre",7.5
1783,"Diciembre",10.4
1784,"Diciembre",5.3
1785,"Diciembre",7.9
1786,"Diciembre",8.3
1787,"Diciembre",10.8
1788,"Diciembre",5.4
1789,"Diciembre",7.3
1790,"Diciembre",7.9
1791,"Diciembre",8.9
1792,"Diciembre",8.1
1793,"Diciembre",8.5
1794,"Diciembre",7
1795,"Diciembre",9.7
1796,"Diciembre",7.7
1797,"Diciembre",9.4
1798,"Diciembre",9.4
1799,"Diciembre",6.2
1800,"Diciembre",8.2
1801,"Diciembre",9.3
1802,"Diciembre",8.1
1803,"Diciembre",8.2
1804,"Diciembre",9.5
1805,"Diciembre",6.5
1806,"Diciembre",9.4
1807,"Diciembre",6.5
1808,"Diciembre",6.1
1809,"Diciembre",6.6
1810,"Diciembre",8.1
1811,"Diciembre",8.2
1812,"Diciembre",7.5
1813,"Diciembre",7.8
1814,"Diciembre",9
1815,"Diciembre",6.4
1816,"Diciembre",6.8
1817,"Diciembre",7.3
1818,"Diciembre",7.1
1819,"Diciembre",8.5
1820,"Diciembre",7.7
1821,"Diciembre",11.1
1822,"Diciembre",7.1
1823,"Diciembre",8.2
1824,"Diciembre",9.8
1825,"Diciembre",9.2
1826,"Diciembre",8.2
1827,"Diciembre",8.4
1828,"Diciembre",8.4
1829,"Diciembre",5.3
1830,"Diciembre",7.6
1831,"Diciembre",8.7
1832,"Diciembre",7.6
1833,"Diciembre",9.5
1834,"Diciembre",7.2
1835,"Diciembre",6.3
1836,"Diciembre",7.3
1837,"Diciembre",8.8
1838,"Diciembre",7.6
1839,"Diciembre",9.8
1840,"Diciembre",7.5
1841,"Diciembre",8.6
1842,"Diciembre",9
1843,"Diciembre",8
1844,"Diciembre",7.1
1845,"Diciembre",8.7
1846,"Diciembre",6.4
1847,"Diciembre",8.1
1848,"Diciembre",9.6
1849,"Diciembre",7.6
1850,"Diciembre",8.5
1851,"Diciembre",6.7
1852,"Diciembre",10.2
1853,"Diciembre",7.2
1854,"Diciembre",7
1855,"Diciembre",6.7
1856,"Diciembre",8.2
1857,"Diciembre",8.5
1858,"Diciembre",8.2
1859,"Diciembre",6.7
1860,"Diciembre",8.5
1861,"Diciembre",9.7
1862,"Diciembre",8.4
1863,"Diciembre",8.3
1864,"Diciembre",7.2
1865,"Diciembre",7.4
1866,"Diciembre",10
1867,"Diciembre",6.6
1868,"Diciembre",11.5
1869,"Diciembre",6.9
1870,"Diciembre",5.3
1871,"Diciembre",4.4
1872,"Diciembre",9.2
1873,"Diciembre",8
1874,"Diciembre",6.9
1875,"Diciembre",5.7
1876,"Diciembre",9.8
1877,"Diciembre",7.8
1878,"Diciembre",6.5
1879,"Diciembre",4.6
1880,"Diciembre",8
1881,"Diciembre",7.9
1882,"Diciembre",8.6
1883,"Diciembre",6.7
1884,"Diciembre",6.1
1885,"Diciembre",8.9
1886,"Diciembre",6.6
1887,"Diciembre",6.4
1888,"Diciembre",10.4
1889,"Diciembre",6.2
1890,"Diciembre",6.3
1891,"Diciembre",9.3
1892,"Diciembre",6.3
1893,"Diciembre",8
1894,"Diciembre",8
1895,"Diciembre",9.3
1896,"Diciembre",8.2
1897,"Diciembre",8.9
1898,"Diciembre",8.7
1899,"Diciembre",7.7
1900,"Diciembre",9.7
1901,"Diciembre",6.7
1902,"Diciembre",7.6
1903,"Diciembre",7.1
1904,"Diciembre",8.8
1905,"Diciembre",7.5
1906,"Diciembre",7.4
1907,"Diciembre",9.3
1908,"Diciembre",8.6
1909,"Diciembre",9.5
1910,"Diciembre",9.7
1911,"Diciembre",10.8
1912,"Diciembre",8.7
1913,"Diciembre",9
1914,"Diciembre",9
1915,"Diciembre",10
1916,"Diciembre",9.1
1917,"Diciembre",5
1918,"Diciembre",10.3
1919,"Diciembre",8.5
1920,"Diciembre",7.6
1921,"Diciembre",8.9
1922,"Diciembre",7.5
1923,"Diciembre",7.3
1924,"Diciembre",8.9
1925,"Diciembre",8
1926,"Diciembre",7
1927,"Diciembre",8.6
1928,"Diciembre",7.7
1929,"Diciembre",10.3
1930,"Diciembre",9.1
1931,"Diciembre",7
1932,"Diciembre",10
1933,"Diciembre",5.6
1934,"Diciembre",10.9
1935,"Diciembre",8.8
1936,"Diciembre",7.5
1937,"Diciembre",7.1
1938,"Diciembre",8.1
1939,"Diciembre",8
1940,"Diciembre",5.9
1941,"Diciembre",7.1
1942,"Diciembre",8.7
1943,"Diciembre",7.9
1944,"Diciembre",7.3
1945,"Diciembre",8.9
1946,"Diciembre",6.5
1947,"Diciembre",7.5
1948,"Diciembre",10.3
1949,"Diciembre",9.1
1950,"Diciembre",5.9
1951,"Diciembre",9.5
1952,"Diciembre",8.3
1953,"Diciembre",11.2
1954,"Diciembre",10
1955,"Diciembre",10.6
1956,"Diciembre",8.1
1957,"Diciembre",7.8
1958,"Diciembre",9.6
1959,"Diciembre",8.9
1960,"Diciembre",6.6
1961,"Diciembre",10.4
1962,"Diciembre",6.8
1963,"Diciembre",7.2
1964,"Diciembre",8
1965,"Diciembre",9.3
1966,"Diciembre",8.9
1967,"Diciembre",7.4
1968,"Diciembre",9
1969,"Diciembre",6.9
1970,"Diciembre",6.5
1971,"Diciembre",9.1
1972,"Diciembre",8.9
1973,"Diciembre",7.7
1974,"Diciembre",9.6
1975,"Diciembre",7.8
1976,"Diciembre",9.3
1977,"Diciembre",9.6
1978,"Diciembre",10.1
1979,"Diciembre",9.1
1980,"Diciembre",6.9
1981,"Diciembre",9.8
1982,"Diciembre",9.1
1983,"Diciembre",9.8
1984,"Diciembre",8.7
1985,"Diciembre",9.6
1986,"Diciembre",9
1987,"Diciembre",10.8
1988,"Diciembre",8.8
1989,"Diciembre",11.2
1990,"Diciembre",6.7
1991,"Diciembre",8.5
1992,"Diciembre",9.2
1993,"Diciembre",9.3
1994,"Diciembre",9.7
1995,"Diciembre",10.1
1996,"Diciembre",9.7
1997,"Diciembre",9.3
1998,"Diciembre",8.7
1999,"Diciembre",9
2000,"Diciembre",11
2001,"Diciembre",6.8
2002,"Diciembre",10.4
2003,"Diciembre",8.8
2004,"Diciembre",9.3
2005,"Diciembre",6.6
2006,"Diciembre",10
2007,"Diciembre",8.8
2008,"Diciembre",7.5
2009,"Diciembre",9
2010,"Diciembre",8.5
2011,"Diciembre",10.2
2012,"Diciembre",9.9
2013,"Diciembre",10.1
2014,"Diciembre",9.1
2015,"Diciembre",12.6
1780,"Enero",6.7
1781,"Enero",7.5
1782,"Enero",8.2
1783,"Enero",8.3
1784,"Enero",7.3
1785,"Enero",9
1786,"Enero",7.8
1787,"Enero",5.4
1788,"Enero",6.4
1789,"Enero",6.9
1790,"Enero",7.4
1791,"Enero",9.5
1792,"Enero",8.7
1793,"Enero",6.7
1794,"Enero",7
1795,"Enero",6.3
1796,"Enero",9
1797,"Enero",6.8
1798,"Enero",7.1
1799,"Enero",7.4
1800,"Enero",7.5
1801,"Enero",7.2
1802,"Enero",3.6
1803,"Enero",6.9
1804,"Enero",9.7
1805,"Enero",6.7
1806,"Enero",6.8
1807,"Enero",6.6
1808,"Enero",5.4
1809,"Enero",9.5
1810,"Enero",5.6
1811,"Enero",5.3
1812,"Enero",4.8
1813,"Enero",5.4
1814,"Enero",6.5
1815,"Enero",4.4
1816,"Enero",5.9
1817,"Enero",7.5
1818,"Enero",7.7
1819,"Enero",7.3
1820,"Enero",6.6
1821,"Enero",8.3
1822,"Enero",6.2
1823,"Enero",7.1
1824,"Enero",5.8
1825,"Enero",6.1
1826,"Enero",5.4
1827,"Enero",7
1828,"Enero",8.9
1829,"Enero",6.7
1830,"Enero",4.1
1831,"Enero",8.1
1832,"Enero",7.7
1833,"Enero",8.1
1834,"Enero",10.1
1835,"Enero",7.8
1836,"Enero",6.7
1837,"Enero",6.2
1838,"Enero",7.2
1839,"Enero",6.2
1840,"Enero",9
1841,"Enero",6.2
1842,"Enero",5.2
1843,"Enero",8.3
1844,"Enero",8
1845,"Enero",8.1
1846,"Enero",9.3
1847,"Enero",10
1848,"Enero",3.4
1849,"Enero",9.3
1850,"Enero",7.2
1851,"Enero",8.2
1852,"Enero",8.6
1853,"Enero",9
1854,"Enero",7.8
1855,"Enero",6
1856,"Enero",10.6
1857,"Enero",5.3
1858,"Enero",5.2
1859,"Enero",6.2
1860,"Enero",9.3
1861,"Enero",8
1862,"Enero",7.7
1863,"Enero",7.6
1864,"Enero",7
1865,"Enero",8.5
1866,"Enero",8.5
1867,"Enero",8.5
1868,"Enero",6.9
1869,"Enero",8.6
1870,"Enero",6.9
1871,"Enero",4.6
1872,"Enero",8.2
1873,"Enero",9.5
1874,"Enero",8.9
1875,"Enero",9.9
1876,"Enero",6.9
1877,"Enero",10.1
1878,"Enero",5.5
1879,"Enero",9.7
1880,"Enero",5.1
1881,"Enero",7
1882,"Enero",9
1883,"Enero",7.7
1884,"Enero",9
1885,"Enero",5.2
1886,"Enero",6.9
1887,"Enero",6.1
1888,"Enero",7.6
1889,"Enero",7.8
1890,"Enero",9.4
1891,"Enero",4.9
1892,"Enero",7.7
1893,"Enero",4.8
1894,"Enero",6.2
1895,"Enero",5.5
1896,"Enero",7.5
1897,"Enero",7.1
1898,"Enero",9.1
1899,"Enero",8.1
1900,"Enero",8
1901,"Enero",8.2
1902,"Enero",7.6
1903,"Enero",6.9
1904,"Enero",6.6
1905,"Enero",7
1906,"Enero",8.2
1907,"Enero",7.1
1908,"Enero",7.4
1909,"Enero",6.3
1910,"Enero",7.8
1911,"Enero",6.7
1912,"Enero",9.4
1913,"Enero",9.3
1914,"Enero",4.9
1915,"Enero",6.7
1916,"Enero",9.1
1917,"Enero",6.1
1918,"Enero",7.7
1919,"Enero",6.2
1920,"Enero",9
1921,"Enero",9.1
1922,"Enero",7.7
1923,"Enero",5.9
1924,"Enero",8.1
1925,"Enero",9
1926,"Enero",8.5
1927,"Enero",8.3
1928,"Enero",7.8
1929,"Enero",5.3
1930,"Enero",9
1931,"Enero",8
1932,"Enero",8.8
1933,"Enero",6.5
1934,"Enero",6.9
1935,"Enero",5.9
1936,"Enero",10.5
1937,"Enero",9.3
1938,"Enero",8.1
1939,"Enero",9.4
1940,"Enero",6.8
1941,"Enero",6.2
1942,"Enero",6.1
1943,"Enero",9.5
1944,"Enero",9.5
1945,"Enero",4.3
1946,"Enero",6.6
1947,"Enero",6.5
1948,"Enero",9.4
1949,"Enero",8.6
1950,"Enero",8.4
1951,"Enero",8.1
1952,"Enero",5.7
1953,"Enero",6.7
1954,"Enero",6.1
1955,"Enero",10.6
1956,"Enero",8.9
1957,"Enero",7.3
1958,"Enero",7.3
1959,"Enero",8.2
1960,"Enero",8.1
1961,"Enero",7.2
1962,"Enero",9.5
1963,"Enero",6.1
1964,"Enero",7.4
1965,"Enero",7.6
1966,"Enero",8.8
1967,"Enero",8
1968,"Enero",8.7
1969,"Enero",8.5
1970,"Enero",9.5
1971,"Enero",7.8
1972,"Enero",7.2
1973,"Enero",8.2
1974,"Enero",9.9
1975,"Enero",9.9
1976,"Enero",8.2
1977,"Enero",8.1
1978,"Enero",6.6
1979,"Enero",8
1980,"Enero",7.3
1981,"Enero",7.2
1982,"Enero",10.4
1983,"Enero",9.1
1984,"Enero",8.3
1985,"Enero",4.3
1986,"Enero",7.4
1987,"Enero",6.9
1988,"Enero",9.5
1989,"Enero",8.8
1990,"Enero",9
1991,"Enero",8.1
1992,"Enero",7.1
1993,"Enero",9
1994,"Enero",8.4
1995,"Enero",8.6
1996,"Enero",10.2
1997,"Enero",8.7
1998,"Enero",8.8
1999,"Enero",8.8
2000,"Enero",7.7
2001,"Enero",9.9
2002,"Enero",9.2
2003,"Enero",7.9
2004,"Enero",9.4
2005,"Enero",7.2
2006,"Enero",7.4
2007,"Enero",9.9
2008,"Enero",10.1
2009,"Enero",7.2
2010,"Enero",6.6
2011,"Enero",8.4
2012,"Enero",9.4
2013,"Enero",9.1
2014,"Enero",9.8
2015,"Enero",9.1
2016,"Enero",10.7
1780,"Febrero",7.3
1781,"Febrero",8.9
1782,"Febrero",6.1
1783,"Febrero",8.6
1784,"Febrero",7.1
1785,"Febrero",6.4
1786,"Febrero",8.3
1787,"Febrero",7.8
1788,"Febrero",10.1
1789,"Febrero",9.3
1790,"Febrero",9.5
1791,"Febrero",6.9
1792,"Febrero",8.9
1793,"Febrero",8.8
1794,"Febrero",9.7
1795,"Febrero",8.3
1796,"Febrero",7.9
1797,"Febrero",8.7
1798,"Febrero",8.6
1799,"Febrero",11.7
1800,"Febrero",8.9
1801,"Febrero",7.7
1802,"Febrero",7.1
1803,"Febrero",5
1804,"Febrero",6
1805,"Febrero",8.1
1806,"Febrero",8.3
1807,"Febrero",8
1808,"Febrero",5.2
1809,"Febrero",9.2
1810,"Febrero",5.8
1811,"Febrero",9.9
1812,"Febrero",9.1
1813,"Febrero",7.2
1814,"Febrero",5.3
1815,"Febrero",8.7
1816,"Febrero",7.2
1817,"Febrero",9.2
1818,"Febrero",9.3
1819,"Febrero",8.1
1820,"Febrero",8.1
1821,"Febrero",7.7
1822,"Febrero",8.7
1823,"Febrero",8.9
1824,"Febrero",8.7
1825,"Febrero",8
1826,"Febrero",9.1
1827,"Febrero",5.4
1828,"Febrero",8.2
1829,"Febrero",7.7
1830,"Febrero",6.5
1831,"Febrero",9.7
1832,"Febrero",8
1833,"Febrero",10.4
1834,"Febrero",8.6
1835,"Febrero",9
1836,"Febrero",7.1
1837,"Febrero",8.9
1838,"Febrero",8.4
1839,"Febrero",7.7
1840,"Febrero",7.7
1841,"Febrero",9
1842,"Febrero",8.4
1843,"Febrero",9.2
1844,"Febrero",7.6
1845,"Febrero",6.4
1846,"Febrero",8.3
1847,"Febrero",8.6
1848,"Febrero",10
1849,"Febrero",9.7
1850,"Febrero",10.8
1851,"Febrero",7.7
1852,"Febrero",6.9
1853,"Febrero",4.5
1854,"Febrero",6.7
1855,"Febrero",9.5
1856,"Febrero",8.3
1857,"Febrero",7.9
1858,"Febrero",9
1859,"Febrero",8.5
1860,"Febrero",5.4
1861,"Febrero",9.2
1862,"Febrero",8.4
1863,"Febrero",7.9
1864,"Febrero",6.7
1865,"Febrero",8
1866,"Febrero",11.1
1867,"Febrero",11.1
1868,"Febrero",8.9
1869,"Febrero",9.8
1870,"Febrero",9.2
1871,"Febrero",8.8
1872,"Febrero",10.1
1873,"Febrero",7.3
1874,"Febrero",8.3
1875,"Febrero",6.9
1876,"Febrero",9.9
1877,"Febrero",9.5
1878,"Febrero",6.1
1879,"Febrero",9
1880,"Febrero",8.6
1881,"Febrero",9.4
1882,"Febrero",10.1
1883,"Febrero",7.7
1884,"Febrero",10.9
1885,"Febrero",11.1
1886,"Febrero",8.7
1887,"Febrero",6.1
1888,"Febrero",5.4
1889,"Febrero",8.5
1890,"Febrero",8.4
1891,"Febrero",7
1892,"Febrero",8.7
1893,"Febrero",8.9
1894,"Febrero",8.6
1895,"Febrero",8.2
1896,"Febrero",8.8
1897,"Febrero",11
1898,"Febrero",9.5
1899,"Febrero",9.6
1900,"Febrero",10.5
1901,"Febrero",4.8
1902,"Febrero",8.7
1903,"Febrero",8.4
1904,"Febrero",9
1905,"Febrero",7.6
1906,"Febrero",7.2
1907,"Febrero",7.2
1908,"Febrero",7.9
1909,"Febrero",5.7
1910,"Febrero",8.9
1911,"Febrero",9.1
1912,"Febrero",10.7
1913,"Febrero",8.6
1914,"Febrero",10.2
1915,"Febrero",7.6
1916,"Febrero",7.9
1917,"Febrero",7
1918,"Febrero",9
1919,"Febrero",8.9
1920,"Febrero",9.9
1921,"Febrero",8.1
1922,"Febrero",9.8
1923,"Febrero",10.1
1924,"Febrero",5.6
1925,"Febrero",8.2
1926,"Febrero",11.6
1927,"Febrero",8.9
1928,"Febrero",10.2
1929,"Febrero",7.3
1930,"Febrero",6.3
1931,"Febrero",7.3
1932,"Febrero",5
1933,"Febrero",8.8
1934,"Febrero",8.2
1935,"Febrero",8.5
1936,"Febrero",9.6
1937,"Febrero",11.4
1938,"Febrero",7.8
1939,"Febrero",9.5
1940,"Febrero",10.2
1941,"Febrero",8.6
1942,"Febrero",5.7
1943,"Febrero",9.2
1944,"Febrero",5.8
1945,"Febrero",10.6
1946,"Febrero",9.6
1947,"Febrero",8.1
1948,"Febrero",9.1
1949,"Febrero",10.4
1950,"Febrero",10.1
1951,"Febrero",8.2
1952,"Febrero",7.6
1953,"Febrero",7.1
1954,"Febrero",6.8
1955,"Febrero",8.6
1956,"Febrero",2.5
1957,"Febrero",11
1958,"Febrero",10.5
1959,"Febrero",9.5
1960,"Febrero",9.6
1961,"Febrero",11
1962,"Febrero",8
1963,"Febrero",5.4
1964,"Febrero",9.2
1965,"Febrero",5.8
1966,"Febrero",11.3
1967,"Febrero",9.3
1968,"Febrero",9
1969,"Febrero",6.9
1970,"Febrero",8.5
1971,"Febrero",9.2
1972,"Febrero",9
1973,"Febrero",7.9
1974,"Febrero",8.5
1975,"Febrero",9.4
1976,"Febrero",8.8
1977,"Febrero",11.1
1978,"Febrero",9.7
1979,"Febrero",9.5
1980,"Febrero",10.1
1981,"Febrero",7.2
1982,"Febrero",9.2
1983,"Febrero",6.4
1984,"Febrero",7.6
1985,"Febrero",10.7
1986,"Febrero",7.3
1987,"Febrero",8
1988,"Febrero",8.6
1989,"Febrero",10.5
1990,"Febrero",12.5
1991,"Febrero",8
1992,"Febrero",8.9
1993,"Febrero",8.2
1994,"Febrero",9.5
1995,"Febrero",11.5
1996,"Febrero",7.7
1997,"Febrero",11.4
1998,"Febrero",11
1999,"Febrero",8.6
2000,"Febrero",11.4
2001,"Febrero",10.1
2002,"Febrero",11.1
2003,"Febrero",7.1
2004,"Febrero",8.6
2005,"Febrero",6.5
2006,"Febrero",8.5
2007,"Febrero",11.4
2008,"Febrero",10.2
2009,"Febrero",8.7
2010,"Febrero",8
2011,"Febrero",10
2012,"Febrero",6.8
2013,"Febrero",7.7
2014,"Febrero",10.1
2015,"Febrero",8.2
2016,"Febrero",11.3
